,0,1,2
51,quixotic,{'Adjective': ['not sensible about practical matters; idealistic and unrealistic']},"['wild-eyed', 'impractical', 'romantic']"
52,unsavory,"{'Adjective': ['morally offensive', 'not pleasing in odor or taste']}","['offensive', 'unsavoury', 'odoriferous']"
53,plod,"{'Noun': ['the act of walking with a slow heavy gait'], 'Verb': ['walk heavily and firmly, as when weary, or through mud']}","['squelch', 'squish', 'slop', 'tramp', 'footslog', 'pad', 'trudge', 'splash', 'splosh', 'slosh', 'walk', 'slog']"
54,haptic,{'Adjective': ['of or relating to or proceeding from the sense of touch']},"['tactual', 'tactile']"
55,explicate,"{'Verb': ['make plain and comprehensible', 'elaborate, as of theories and hypotheses']}","['naturalize', 'account for', 'clarify', 'inform', 'clear up', 'elucidate', 'interpret', 'comment', 'rede', 'explain']"
56,ostracize,"{'Verb': ['expel from a community or group', 'avoid speaking to or dealing with']}","['expel', 'throw out', 'blackball', 'shun', 'cast out', 'kick out', 'banish', 'ostracise', 'ban']"
57,qualification,"{'Noun': ['an attribute that must be met or complied with and that fits a person for something', 'the act of modifying or changing the strength of some idea', 'a statement that limits or restricts some claim']}","['fittingness', 'making', 'eligibility', 'ineligibility', 'fitness']"
58,gall,"{'Noun': ['an open sore on the back of a horse caused by ill-fitting or badly adjusted saddle', 'a skin sore caused by chafing', 'abnormal swelling of plant tissue caused by insects or microorganisms or injury', 'a feeling of deep and bitter anger and ill-will', 'a digestive juice secreted by the liver and stored in the gallbladder; aids in the digestion of fats', 'the trait of being rude and impertinent; inclined to take liberties'], 'Verb': ['become or make sore by or as if by rubbing', 'irritate or vex']}","['enviousness', 'sulkiness', 'rancor', 'grievance', 'rancour', 'resentment', 'grudge', 'enmity', 'ill will', 'huffishness', 'score', 'heartburning', 'envy', 'bitterness', 'hostility']"
59,conflate,{'Verb': ['mix together different elements']},"['change integrity', 'blend in', 'mix in', 'commingle', 'immix', 'gauge', 'admix', 'syncretize', 'alloy', 'conjugate', 'merge', 'syncretise', 'coalesce', 'mix', 'absorb', 'combine', 'blend', 'melt', 'fuse', 'flux', 'accrete', 'meld']"
60,objurgation,{'Noun': ['rebuking a person harshly']},"['reproof', 'reprimand', 'reprehension', 'rebuke', 'tongue-lashing', 'wig', 'reproval', 'chiding', 'wigging', 'scolding']"
61,economy,"{'Noun': ['the system of production and distribution and consumption', 'the efficient use of resources', 'frugality in the expenditure of money or resources', 'an act of economizing; reduction in cost']}","['black economy', 'state socialism', 'scheme', 'private enterprise', 'market economy', 'industrialism', 'system', 'mixed economy', 'laissez-faire economy', 'sector', 'state capitalism', 'free enterprise', 'non-market economy', 'economic system']"
62,preternatural,"{'Adjective': ['surpassing the ordinary or normal', 'existing outside of or not in accordance with nature']}","['otherworldly', 'nonnatural', 'supernatural', 'transcendental']"
63,scurrilous,{'Adjective': ['expressing offensive reproach']},"['abusive', 'offensive', 'opprobrious']"
64,requisite,"{'Noun': ['anything indispensable'], 'Adjective': ['necessary for relief or supply']}","['needed', 'needful', 'necessary', 'required']"
65,extravagant,"{'Adjective': ['unrestrained, especially with regard to feelings', 'recklessly wasteful']}","['unrestrained', 'excessive', 'overweening', 'exuberant']"
66,husband,"{'Noun': [""a married man; a woman's partner in marriage""], 'Verb': ['use cautiously and frugally']}","['partner', 'hubby', 'uxoricide', 'married man', 'benedict', 'cuckold', 'benedick', 'spouse', 'better half', 'househusband', 'mate', 'family man', 'married person', 'house husband']"
67,milk,"{'Noun': ['a white nutritious liquid secreted by mammals and used as food by human beings', 'produced by mammary glands of female mammals for feeding their young', 'a river that rises in the Rockies in northwestern Montana and flows eastward to become a tributary of the Missouri River', 'any of several nutritive milklike liquids'], 'Verb': ['take milk from female mammals', 'exploit as much as possible', 'add milk to']}","['buttermilk', 'drink', 'low-fat milk', ""goats' milk"", 'evaporated milk', 'raw milk', ""yak's milk"", 'powdered milk', 'milk powder', 'skimmed milk', 'condensed milk', 'pasteurized milk', 'dairy product', 'dried milk', 'whole milk', 'semi-skimmed milk', 'dry milk', 'potable', 'protein', 'beverage', 'skim milk', 'certified milk', 'chocolate milk', 'acidophilus milk', 'drinkable', 'homogenized milk', 'scalded milk', 'sour milk', ""cows' milk""]"
68,pronounced,"{'Verb': ['speak, pronounce, or utter in a certain way', 'pronounce judgment on'], 'Adjective': ['strongly marked; easily noticeable']}","['marked', 'noticeable']"
69,momentary,{'Adjective': ['lasting for a markedly brief time']},"['momentaneous', 'short', 'fugitive', 'fleeting']"
70,ameliorate,"{'Verb': ['to make better', 'get better']}","['bounce back', 'reform', 'surge', 'recover', 'recuperate', 'improve', 'straighten out', 'turn around', 'change state', 'mend', 'see the light', 'get well', 'pick up', 'get over', 'better', 'amend', 'heal', 'turn', 'meliorate', 'fructify', 'upgrade', 'convalesce']"
71,biased,"{'Verb': ['influence in an unfair way', 'cause to be biased'], 'Adjective': ['favoring one person or side over another']}","['one-sided', 'coloured', 'colored', 'slanted', 'partial']"
72,exalt,"{'Verb': ['praise, glorify, or honor', 'fill with sublime emotion', 'heighten or intensify', 'raise in rank, character, or status']}","['praise', 'hymn', 'crack up', 'canonise', 'canonize', 'extol', 'ensky', 'proclaim', 'laud', 'glorify']"
73,arrant,{'Adjective': ['without qualification; used informally as (often pejorative']},"['utter', 'staring', 'perfect', 'stark', 'pure', 'thoroughgoing', 'gross', 'unmitigated', 'consummate', 'complete', 'double-dyed', 'everlasting', 'unadulterated', 'sodding']"
74,sluggish,"{'Adjective': ['moving slowly', '(of business', 'or slow', 'slow and apathetic']}","['sulky', 'slow']"
75,thwart,"{'Noun': ['a crosspiece spreading the gunnels of a boat; used as a seat in a rowboat'], 'Verb': ['hinder or prevent (the efforts, plans, or desires']}","['baffle', 'scotch', 'foil', 'disappoint', 'cross', 'prevent', 'frustrate', 'let down', 'queer', 'preclude', 'ruin', 'dash', 'bilk', 'foreclose', 'spoil', 'forestall', 'short-circuit', 'forbid']"
76,aver,"{'Verb': ['report or maintain', 'to declare or affirm solemnly and formally as true']}","['say', 'assert', 'allege', 'maintain', 'asseverate', 'plead']"
77,balk,"{'Noun': ['the area on a billiard table behind the balkline', 'something immaterial that interferes with or delays action or progress', 'one of several parallel sloping beams that support a roof', 'an illegal pitching motion while runners are on base'], 'Verb': ['refuse to comply']}","['resist', 'disobey', 'baulk', 'jib']"
78,mendacious,"{'Adjective': ['given to lying', 'intentionally untrue']}",['untruthful']
79,salient,"{'Noun': ['(military'], 'Adjective': ['having a quality that thrusts itself into attention', '(of angles', 'represented as leaping (rampant but leaning forward']}","['conspicuous', 'striking', 'prominent', 'spectacular', 'outstanding']"
80,wizened,{'Adjective': ['lean and wrinkled by shrinkage as from age or illness']},"['shrunken', 'thin', 'shrivelled', 'shriveled', 'lean', 'withered', 'wizen']"
81,stygian,"{'Adjective': ['hellish', 'dark and dismal as of the rivers Acheron and Styx in Hades']}","['Acherontic', 'dark', 'Acheronian']"
82,prophetic,{'Adjective': ['foretelling events as if by supernatural intervention']},"['sibylline', 'vatic', 'mantic', 'prognosticative', 'precognitive', 'second-sighted', 'fateful', 'oracular', 'apocalyptical', 'sibyllic', 'adumbrative', 'prognostic', 'clairvoyant', 'prefigurative', 'divinatory', 'apocalyptic', 'portentous', 'revelatory', 'prophetical', 'vatical', 'predictive', 'Delphic', 'precursory', 'foreboding', 'foreshadowing', 'premonitory']"
83,dawdle,"{'Verb': [""take one's time; proceed slowly"", 'waste time', 'hang (back', 'behind']}","['move', 'linger']"
84,inane,{'Adjective': ['extremely silly or stupid']},"['foolish', 'mindless', 'fatuous', 'asinine', 'vacuous']"
85,retrospective,"{'Noun': [""an exhibition of a representative selection of an artist's life work""], 'Adjective': ['concerned with or related to the past']}",['art exhibition']
86,ostensible,"{'Adjective': ['appearing as such but not necessarily so', 'represented or appearing as such; pretended']}","['counterfeit', 'ostensive', 'imitative']"
87,redound,"{'Verb': ['return or recoil', 'contribute', 'have an effect for good or ill']}",['accrue']
88,affected,"{'Verb': ['have an effect upon', 'act physically on; have an effect upon', 'connect closely and often incriminatingly', 'make believe with the intent to deceive', 'have an emotional or cognitive impact upon'], 'Adjective': ['acted upon; influenced', 'speaking or behaving in an artificial way to make an impression', 'being excited or provoked to the expression of an emotion']}","['touched', 'smitten', 'taken', 'impressed', 'stage-struck', 'moved', 'struck', 'wonder-struck', 'subject', 'stirred', 'stricken']"
89,ascendancy,{'Noun': ['the state that exists when one person or group has power over another']},"['control', 'rule', 'tyranny', 'supremacy', 'monopoly', 'condition', 'ascendance', 'predomination', 'dominance', 'status', 'absolutism', 'dominion', 'domination', 'ascendency', 'prepotency', 'ascendence', 'ascendant', 'regulation', 'despotism', 'predominance', 'ascendent', 'mastery']"
90,expunge,{'Verb': ['remove by erasing or crossing out or as if by drawing a line']},"['delete', 'cancel', 'excise', 'scratch', 'strike']"
91,panacea,"{'Noun': ['(Greek mythology', 'hypothetical remedy for all ills or diseases; once sought by the alchemists']}","['remedy', 'cure-all', 'nostrum', 'elixir', 'catholicon', 'therapeutic', 'cure', 'curative']"
92,lucrative,{'Adjective': ['producing a sizeable profit']},"['remunerative', 'moneymaking', 'profitable']"
93,astray,"{'Adverb': ['away from the right path or direction', 'far from the intended target']}",['wide']
94,pastiche,"{'Noun': ['a musical composition consisting of a series of songs or other musical pieces from various sources', 'a work of art that imitates the style of some previous work']}","['potpourri', 'composition', 'musical composition', 'opus', 'medley', 'piece of music', 'piece']"
95,effervescent,"{'Adjective': ['used of wines and waters; charged naturally or artificially with carbon dioxide', '(of a liquid', 'marked by high spirits or excitement']}",['sparkling']
96,concomitant,"{'Noun': ['an event or situation that happens at the same time as or in connection with another'], 'Adjective': ['occurring with or following as a consequence']}","['accompanying', 'incidental', 'attendant', 'ensuant', 'subsequent', 'sequent', 'consequent', 'resultant']"
97,cow,"{'Noun': [""mature female of mammals of which the male is called `bull'"", 'a large unpleasant woman'], 'Verb': ['subdue, restrain, or overcome by affecting with a feeling of awe; frighten (as with threats']}","['kine', 'springing cow', 'bag', 'Bos taurus', 'cows', 'cattle', 'heifer', 'springer', 'udder', 'poll', 'oxen', 'moo-cow']"
98,bristle,"{'Noun': ['a stiff fiber (coarse hair or filament', 'a stiff hair'], 'Verb': ['be in a state of movement or action', 'rise up as in fear', 'have or be thickly covered with or as if with bristles', 'react in an offended or angry manner']}","['brush', 'fibre', 'fiber']"
99,dismiss,"{'Verb': ['bar from attention or consideration', 'cease to consider; put out of judicial consideration', 'stop associating with', 'terminate the employment of; discharge from an office or position', ""end one's encounter with somebody by causing or permitting the person to leave"", 'declare void']}","['ignore', 'pass off', 'discredit', 'discount', 'push aside', 'disregard', 'cold-shoulder', 'laugh away', 'slight', 'reject', 'scoff', 'laugh off', 'brush aside', 'disoblige', 'shrug off', 'brush off', 'flout', 'turn a blind eye']"
100,fraternize,"{'Verb': ['be on friendly terms with someone, as if with a brother, especially with an enemy']}","['socialise', 'fraternise', 'socialize']"
101,plaudits,"{'Noun': ['enthusiastic approval', 'enthusiastic approval']}","['commendation', 'plaudit', 'acclaim', 'acclamation', 'approval', 'eclat']"
102,vitriolic,"{'Adjective': ['harsh or corrosive in tone', 'of a substance, especially a strong acid; capable of destroying or eating away by chemical action']}","['unpleasant', 'acrid', 'acerb', 'virulent', 'caustic', 'bitter', 'blistering', 'sulphurous', 'sulfurous', 'acid', 'acerbic']"
103,affinity,"{'Noun': ['(immunology', '(anthropology', '(biology', 'a close connection marked by community of interests or similarity in nature or character', 'the force attracting atoms to each other and binding them together in a molecule', 'inherent resemblance between persons or things', 'a natural attraction or feeling of kinship']}","['attractive force', 'attraction']"
104,urbane,{'Adjective': ['showing a high degree of refinement and the assurance that comes from wide social experience']},"['polished', 'refined', 'svelte', 'sophisticated']"
105,lampoon,"{'Noun': [""a composition that imitates or misrepresents somebody's style, usually in a humorous way""], 'Verb': ['ridicule with satire']}","['make fun', 'laugh at', 'roast', 'blackguard', 'guy', 'poke fun', 'rib', 'satirise', 'ridicule', 'jest at', 'satirize']"
106,sensational,"{'Adjective': ['causing intense interest, curiosity, or emotion', 'commanding attention', 'relating to or concerned in sensation']}","['sensationalistic', 'screaming', 'yellow', 'shocking', 'sensationalism', 'scandalmongering', 'lurid']"
107,autonomy,"{'Noun': ['immunity from arbitrary exercise of authority: political independence', 'personal independence']}","['independence', 'self-determination', 'self-rule', 'self-government', 'liberty', 'independency']"
108,specious,"{'Adjective': ['plausible but false', 'based on pretense; deceptively pleasing']}","['spurious', 'false']"
109,diffident,"{'Adjective': ['showing modest reserve', 'lacking self-confidence']}",['reserved']
110,tendentious,{'Adjective': ['having or marked by a strong tendency especially a controversial one']},"['partisan', 'tendencious', 'partizan']"
111,clairvoyant,"{'Noun': ['someone who has the power of clairvoyance'], 'Adjective': ['perceiving things beyond the natural range of the senses', 'foreseeing the future']}","['paranormal', 'extrasensory']"
112,reproach,"{'Noun': ['a mild rebuke or criticism', 'disgrace or shame'], 'Verb': ['express criticism towards']}","['reproof', 'reprimand', 'self-reproof', 'reprehension', 'rebuke', 'blame', 'rap', 'reproval', 'self-reproach']"
113,deterrent,"{'Noun': ['something immaterial that interferes with or delays action or progress'], 'Adjective': ['tending to deter']}","['obstacle', 'balk', 'hindrance', 'check', 'millstone', 'diriment impediment', 'drag', 'obstruction', 'bind', 'albatross', 'handicap', 'hinderance', 'difficulty', 'baulk', 'straitjacket', 'impediment']"
114,malodorous,{'Adjective': ['having an unpleasant smell']},"['foetid', 'rank-smelling', 'foul', 'sour', 'noisome', 'gamey', 'ill-scented', 'mephitic', 'funky', 'unpleasant-smelling', 'bilgy', 'malodourous', 'stinky', 'miasmic', 'gamy', 'smelly', 'odorous', 'putrid-smelling', 'rancid', 'ill-smelling', 'stinking', 'fetid', 'high', 'frowsty', 'musty', 'niffy', 'reeking', 'odoriferous', 'fusty', 'foul-smelling']"
115,cowed,"{'Verb': ['subdue, restrain, or overcome by affecting with a feeling of awe; frighten (as with threats']}","['kine', 'springing cow', 'bag', 'Bos taurus', 'cows', 'cattle', 'heifer', 'springer', 'udder', 'poll', 'oxen', 'moo-cow']"
116,waffle,"{'Noun': ['pancake batter baked in a waffle iron'], 'Verb': ['pause or hold back in uncertainty or unwillingness']}","['Belgian waffle', 'cake']"
117,precis,"{'Noun': ['a sketchy summary of the main points of an argument or theory'], 'Verb': ['make a summary (of']}","['abstract', 'synopsis', 'summary', 'sum-up', 'brief', 'apercu', 'outline', 'epitome']"
118,avert,"{'Verb': ['prevent the occurrence of; prevent from happening', 'turn away or aside']}","['preclude', 'foreclose', 'prevent', 'avoid', 'ward off', 'fend off', 'forestall', 'obviate', 'head off', 'debar', 'deflect', 'forfend', 'forefend', 'forbid', 'stave off']"
119,incandescent,"{'Adjective': ['emitting light as a result of being heated', 'characterized by ardent emotion or intensity or brilliance']}","['candent', 'light']"
120,miasma,"{'Noun': ['an unwholesome atmosphere', 'unhealthy vapors rising from the ground or other sources']}","['ambience', 'miasm', 'atmosphere', 'ambiance']"
121,apothegm,{'Noun': ['a short pithy instructive saying']},"['apophthegm', 'axiom', 'aphorism', 'maxim']"
122,algorithm,{'Noun': ['a precise rule (or set of rules']},"['algorithmic program', 'algorithmic rule', 'rule', 'formula', 'sorting algorithm', 'stemmer', 'stemming algorithm']"
123,whimsical,{'Adjective': ['determined by chance or impulse or whim rather than by necessity or reason']},"['arbitrary', 'capricious', 'impulsive']"
124,contrite,{'Adjective': ['feeling or expressing pain or sorrow for sins or offenses']},"['penitent', 'remorseful', 'rueful', 'repentant', 'ruthful']"
125,Pollyannaish,{'Adjective': ['pleasantly (even unrealistically']},"['optimistic', 'upbeat', 'cheerful']"
126,levity,"{'Noun': ['feeling an inappropriate lack of seriousness', 'a manner lacking seriousness']}","['humorousness', 'jocoseness', 'flippancy', 'jocosity', 'light-mindedness', 'merriness', 'frivolity', 'frivolousness']"
127,abjure,"{'Verb': ['formally reject or disavow a formerly held belief, usually under pressure']}","['retract', 'forswear', 'repudiate', 'resile', 'renounce', 'disown', 'recant']"
128,elucidate,"{'Verb': ['make clear and (more', 'make free from confusion or ambiguity; make clear']}","['explicate', 'disambiguate', 'sort out', 'enlighten', 'crystalise', 'expand', 'clarify', 'straighten out', 'clear up', 'illuminate', 'enlarge', 'explain', 'demystify', 'flesh out', 'shed light on', 'crystalize', 'crystallize', 'clear', 'dilate', 'elaborate', 'lucubrate', 'crystallise', 'expound', 'expatiate', 'exposit']"
129,mesmerize,"{'Verb': ['attract strongly, as if with a magnet', 'induce hypnosis in']}","['magnetise', 'charm', 'influence', 'tempt', 'mesmerise', 'spellbind', 'magnetize', 'bewitch']"
130,imploring,"{'Verb': ['call upon in supplication; entreat'], 'Adjective': ['begging']}","['precative', 'importunate', 'precatory', 'supplicant', 'supplicatory', 'petitionary', 'pleading', 'mendicant', 'adjuratory', 'suppliant', 'beseeching']"
131,sublime,"{'Verb': ['vaporize and then condense right back again', 'change or cause to change directly from a solid into a vapor without first melting'], 'Adjective': ['inspiring awe', 'worthy of adoration or reverence', 'lifted up or set high', 'of high moral or intellectual value; elevated in nature or style', 'greatest or maximal in degree; extreme']}","['empyrean', 'glorious', 'empyreal']"
132,verbose,"{'Adjective': ['using or containing too many words', 'or windy']}","['long-winded', 'prolix', 'wordy', 'windy', 'tedious']"
133,impugn,{'Verb': ['attack as false or wrong']},['challenge']
134,provincial,"{'Noun': ['(Roman Catholic Church', 'a country person'], 'Adjective': ['of or associated with a province', 'characteristic of the provinces or their people']}","['poky', 'one-horse', 'unsophisticated', 'corn-fed', 'bumpkinly', 'jerkwater', 'rustic', 'parochial', 'pokey', 'stay-at-home', 'insular', 'hick']"
135,cower,"{'Verb': ['crouch or curl up', 'show submission or fear']}","['huddle', 'bow', 'crouch', 'stoop', 'bend']"
136,perigee,{'Noun': ['periapsis in Earth orbit; the point in its orbit where a satellite is nearest to the Earth']},"['point of periapsis', 'periapsis']"
