,Gregmat,Magoosh,Manhattan,Prep Scholar,Powerscore,Vince Kotchian / Brian McElroy,Greenlight Basic,Greenlight Advanced,,Work,Meaning,,,,,,,,,,,,,
73,base,artifice,ascetic,consumption,callous,antedate,beneficent,capitulate,,,,,,,,,,,,,,,,
74,befuddled,artless,ascribe,contend,calumny,antediluvian,benign,captious,,,,,,,,,,,,,,,,
75,belie,artlessness,aseptic,contentious,canard,antipode,bent,caret,,,,,,,,,,,,,,,,
76,belligerent,ascendancy,asperity,contrite,canonical,antithesis,bereave,caterwauling,,,,,,,,,,,,,,,,
77,beneficent,ascetic,aspersions,convoluted,cantankerous,apace,boisterous,cavil,,,,,,,,,,,,,,,,
78,benevolent,ascribe,assail,copious,capricious,apartheid,bolster,celerity,,,,,,,,,,,,,,,,
79,benign,askance,assiduous,cosmopolitan,cartographer,aplomb,bombast,chagrin,,,,,,,,,,,,,,,,
80,berate,asperity,assuage,covet,castigate,apocryphal,brevity,chasten,,,,,,,,,,,,,,,,
81,betray,assail,attenuate,craft,cataclysm,apoplectic,broach,chicanery,,,,,,,,,,,,,,,,
82,blithe,assiduously,attuned,craven,cathartic,apostle,buff,chide,,,,,,,,,,,,,,,,
83,bogus,assuage,audacious,credence,catholic,apothegm,burgeon,chimera,,,,,,,,,,,,,,,,
84,boisterous,atavism,augment,credulous,caustic,apotheosis,burnish,choleric,,,,,,,,,,,,,,,,
85,bolster,attenuate,augury,decorum,cavalier,appease,buttress,churlish,,,,,,,,,,,,,,,,
86,boorish,audacious,august,deference,censure,apportion,candor,cleave,,,,,,,,,,,,,,,,
87,brazen,audacity,austere,deflect,charlatan,apposite,capricious,coda,,,,,,,,,,,,,,,,
88,bridle,augment,autonomous,deftness,chary,approbation,cardinal,coeval,,,,,,,,,,,,,,,,
89,brook,auspicious,avarice,delineate,chicanery,apropos,castigation,collusion,,,,,,,,,,,,,,,,
90,bucolic,austere,aver,demur,churlish,arbitrary,catalyst,comely,,,,,,,,,,,,,,,,
91,buoyant,autocratic,avid,denigrate,circumlocution,arcane,caustic,conflate,,,,,,,,,,,,,,,,
92,burgeon,autonomously,axiom,deride,circumscribed,arch,cavalier,consonant,,,,,,,,,,,,,,,,
93,buttress,avarice,balk,derivative,circumspect,archaic,censure,consummate,,,,,,,,,,,,,,,,
94,byzantine,avaricious,balloon,desiccate,clandestine,arduous,centrifuge,contemn,,,,,,,,,,,,,,,,
95,cacophonous,avert,banal,desultory,cloying,arid,chauvinist,contumacious,,,,,,,,,,,,,,,,
96,calumny,avid,bane,detachment,coalesce,arrogate,circumspect,coterie,,,,,,,,,,,,,,,,
97,candid,badger,base,determinant,coffer,articulate,coalesce,coterminous,,,,,,,,,,,,,,,,
98,canny,baleful,baying,diatribe,cogent,artifice,coercive,countenance,,,,,,,,,,,,,,,,
99,canonize,balk,belie,didactic,collusion,artless,cogent,cozen,,,,,,,,,,,,,,,,
100,capricious,banal,beneficent,diffident,conciliate,ascendancy,cognizant,craven,,,,,,,,,,,,,,,,
101,castigate,banality,benign,dilettante,concomitant,ascetic,color,cupidity,,,,,,,,,,,,,,,,
102,cataclysmic,banish,bent,dirge,conflagration,ashen,commensurate,decorous,,,,,,,,,,,,,,,,
103,caustic,base,besiege,disabuse,conspicuous,askew,complaisance,defalcate,,,,,,,,,,,,,,,,
104,cavalier,bastardization,bevy,discern,consummate,asperity,complement,demagogue,,,,,,,,,,,,,,,,
105,censure,beatific,bifurcate,discrepancy,contrite,aspersion,compliant,demur,,,,,,,,,,,,,,,,
106,cerebral,becoming,bilk,disinterested,contumacious,aspiration,conciliatory,denouement,,,,,,,,,,,,,,,,
107,chastise,beg,blight,disparage,convoluted,assail,condemn,deposition,,,,,,,,,,,,,,,,
108,chauvinistic,begrudge,blithe,disparate,corpulent,assiduous,condolence,deprecate,,,,,,,,,,,,,,,,
109,cherish,behooves,bogus,dispassionate,corroborate,assuage,condone,depredate,,,,,,,,,,,,,,,,
110,chicanery,belie,bolster,disregard,cosset,astray,connoisseur,descant,,,,,,,,,,,,,,,,
111,chivalrous,belittle,bombastic,dissemble,coterie,astute,conspicuous,descry,,,,,,,,,,,,,,,,
112,churlish,bellicose,bonhomie,disseminate,craven,attenuate,conspire,desiccate,,,,,,,,,,,,,,,,
113,circumscribe,belligerent,boor,dissonance,crescendo,audacious,consternation,desuetude,,,,,,,,,,,,,,,,
114,circumspect,bemoan,brandish,diverge,culpable,augment,contemptuous,desultory,,,,,,,,,,,,,,,,
115,clamorous,benighted,brook,dogma,cumbersome,august,contentious,diaphanous,,,,,,,,,,,,,,,,
116,clandestine,benign,bucolic,dupe,cupidity,auspicious,contiguous,didactic,,,,,,,,,,,,,,,,
117,clangor,bereft,buffer,ebullient,curmudgeon,austere,contrite,diffident,,,,,,,,,,,,,,,,
118,cloak,besiege,bureaucracy,eccentric,cynical,authoritative,convention,dilatory,,,,,,,,,,,,,,,,
119,coalesce,besmirch,burgeon,eclectic,dalliance,automaton,converge,dirge,,,,,,,,,,,,,,,,
120,coercion,besotted,burnish,efficacy,daunt,autonomous,conversion,disaffect,,,,,,,,,,,,,,,,
121,cogent,betray,buttress,elegy,dearth,avaricious,copious,discomfit,,,,,,,,,,,,,,,,
122,coin,bilious,bygone,elicit,debunk,aver,corroborate,discursive,,,,,,,,,,,,,,,,
123,collaborate,blatant,cacophony,eloquence,debutante,aversion,corrosion,distention,,,,,,,,,,,,,,,,
124,comity,bleak,calumny,eminent,declivity,avuncular,covert,distrait,,,,,,,,,,,,,,,,
125,commence,blinkered,canard,empirical,decorous,badger,covet,doggerel,,,,,,,,,,,,,,,,
126,commensurate,bolster,candid,emulate,deject,baleful,cower,dogmatic,,,,,,,,,,,,,,,,
127,compelling,boon,canonical,enervate,deleterious,banal,credulous,dolorous,,,,,,,,,,,,,,,,
128,competent,boorish,capricious,engender,delineate,base,culpable,dross,,,,,,,,,,,,,,,,
129,complacent,bowdlerize,cardinal,enhance,demagogue,battery,cultured,dulcet,,,,,,,,,,,,,,,,
130,complementary,brazen,cartography,entitlement,demarcate,bauble,cunning,ebullience,,,,,,,,,,,,,,,,
131,comply,bridle,castigate,ephemeral,demur,baying,curmudgeon,edacious,,,,,,,,,,,,,,,,
132,compromise,bristle,catalyst,equable,denigrate,beatific,cursory,edifying,,,,,,,,,,,,,,,,
133,conciliatory,broadside,catholic,equivocate,derelict,beatify,cynical,effluvia,,,,,,,,,,,,,,,,
134,condone,bromide,caustic,erroneous,deride,becalm,damp,effrontery,,,,,,,,,,,,,,,,
135,confound,brook,censure,erudite,derivative,bedlam,daunt,effusive,,,,,,,,,,,,,,,,
136,congenial,browbeat,chauvinism,eschew,desiccate,beguile,dearth,egregious,,,,,,,,,,,,,,,,
137,conjectural,brusquely,chicanery,esoteric,despoiler,behemoth,debacle,egress,,,,,,,,,,,,,,,,
138,connoisseur,buck,chronological,estimable,despot,beleaguered,debased,elegy,,,,,,,,,,,,,,,,
139,consensus,bucolic,circumscribe,eulogy,destitute,belied,debauchery,emollient,,,,,,,,,,,,,,,,
140,conspicuous,bumbling,circumspect,exacerbate,desultory,belittle,decibel,encomium,,,,,,,,,,,,,,,,
141,construe,burgeon,clamber,exacting,diaphanous,bellicose,decimate,endemic,,,,,,,,,,,,,,,,
142,contempt,buttress,clamor,exculpate,diatribe,bemoan,defer,enormity,,,,,,,,,,,,,,,,
143,contend,byzantine,clinch,exigent,dictum,beneficence,deference,epicure,,,,,,,,,,,,,,,,
144,contentious,cadaverous,cloying,exonerate,didactic,benign,deign,epithet,,,,,,,,,,,,,,,,
145,contravene,callow,coagulate,expatiate,diffident,bereft,deleterious,eponymous,,,,,,,,,,,,,,,,
146,contrite,calumny,coalesce,explicate,dilatory,beseech,demure,equanimity,,,,,,,,,,,,,,,,
147,convalescent,canard,coda,exposition,dilettante,bifurcated,denigrate,equipoise,,,,,,,,,,,,,,,,
148,conventional,candid,coffer,extraneous,dirge,bilious,denounce,erudite,,,,,,,,,,,,,,,,
149,convivial,candidness,cogent,extrapolate,disabuse,blasé,deride,eschew,,,,,,,,,,,,,,,,
150,convoluted,capitulate,collude,facetious,discern,blithe,derision,esoteric,,,,,,,,,,,,,,,,
151,copious,capricious,commensurate,facilitate,disdain,bloviated,derivative,essay,,,,,,,,,,,,,,,,
152,cordial,cardinal,compendium,fallacious,disenfranchise,bludgeon,detraction,euphony,,,,,,,,,,,,,,,,
153,correlate,carping,complacent,fastidious,disillusion,bonhomie,deviance,evince,,,,,,,,,,,,,,,,
154,corroborate,castigate,complaisant,fluctuate,disingenuous,boon,deviation,exact,,,,,,,,,,,,,,,,
155,cosmopolitan,cataclysm,complementary,foment,disparage,boor,diabolic,excoriate,,,,,,,,,,,,,,,,
156,countenance,catalyst,compliant,forestall,disparate,bootless,diatribe,exegesis,,,,,,,,,,,,,,,,
157,covert,catholic,concede,fortuitous,dissembler,bowdlerize,dichotomy,exhort,,,,,,,,,,,,,,,,
158,covet,cavalier,conciliatory,fortuitous,disseminate,bravado,diffuse,expatiate,,,,,,,,,,,,,,,,
159,craven,cede,concur,gainsay,dissonance,brazen,digress,expiate,,,,,,,,,,,,,,,,
160,credible,celerity,condone,galvanize,distaff,brevity,dilapidated,exposition,,,,,,,,,,,,,,,,
161,crestfallen,censor,confer,garrulous,dither,bromide,din,expostulate,,,,,,,,,,,,,,,,
162,cumbersome,censure,confound,gauche,diurnal,brusque,disabuse,expound,,,,,,,,,,,,,,,,
163,cumbersome,cerebral,connoisseur,germane,divert,bucolic,discomfit,expurgate,,,,,,,,,,,,,,,,
164,cunning,chagrin,connote,glib,divine,bugbear,discordant,exscind,,,,,,,,,,,,,,,,
165,curb,champion,console,gregarious,doctrinaire,bulwark,discourse,extant,,,,,,,,,,,,,,,,
166,cursory,charlatan,consolidate,guile,dogmatic,bumptious,discreet,extirpate,,,,,,,,,,,,,,,,
167,curtail,chary,constrict,hackneyed,draconian,bungle,discrepancy,extol,,,,,,,,,,,,,,,,
168,daunting,chastise,construe,harangue,droll,buoyant,discrete,facile,,,,,,,,,,,,,,,,
169,dawdle,chauvinism,contentious,hedonism,dubious,burdensome,discretion,fallow,,,,,,,,,,,,,,,,
170,dearth,chauvinist,contextualize,hierarchical,dupe,burgeoning,disingenuous,fatuous,,,,,,,,,,,,,,,,
171,debilitating,check,contraries,homogenous,dyspeptic,buttress,disinterest,feckless,,,,,,,,,,,,,,,,
172,debunk,checkered,contrite,hyperbole,earnest,bygone,disparage,felicitious,,,,,,,,,,,,,,,,
173,decadent,chimera,contumacious,iconoclast,ebullient,byzantine,disparate,fetid,,,,,,,,,,,,,,,,
174,decorum,chivalrous,conundrum,ideological,eclectic,cache,dispersed,filigree,,,,,,,,,,,,,,,,
175,decry,choleric,converge,imminent,edify,cacophony,dissemble,florid,,,,,,,,,,,,,,,,
176,deference,chortle,conversant,immutable,efficacious,cadge,dissolution,foment,,,,,,,,,,,,,,,,
177,deflect,churlish,conversely,impair,effigy,cajole,distill,ford,,,,,,,,,,,,,,,,
178,deft,circumscribe,convoke,impediment,effrontery,calamitous,distraught,fracas,,,,,,,,,,,,,,,,
179,deify,circumvent,convoluted,imperturbable,effusive,callous,divest,fractious,,,,,,,,,,,,,,,,
180,deleterious,clemency,copious,implacable,egalitarian,callow,divulge,frieze,,,,,,,,,,,,,,,,
181,deliberate,coalesce,corroborate,implicit,egregious,calumnious,dogma,froward,,,,,,,,,,,,,,,,
182,demur,cogent,cosmopolitan,imprudence,elegy,camaraderie,dynamo,fulminate,,,,,,,,,,,,,,,,
183,denounce,cohesive,cosset,impudent,elicit,canard,eccentric,fulsome,,,,,,,,,,,,,,,,
184,deride,collusion,coterie,inadvertent,eloquent,canny,eclectic,gainsay,,,,,,,,,,,,,,,,
185,derivative,colossal,countenance,Inchoate,elucidate,canonize,eloquent,gambit,,,,,,,,,,,,,,,,
186,desiccate,commendable,counterintuitive,inconclusive,embroil,capacious,elucidate,gambol,,,,,,,,,,,,,,,,
187,despotic,commensurate,counterpoint,indebted,eminent,capitulate,empirical,garrulous,,,,,,,,,,,,,,,,
188,desultory,complacent,counterproductive,indefatigable,emissary,capricious,emulate,gauche,,,,,,,,,,,,,,,,
189,deviate,complaisant,covert,indolent,emollient,captious,enervate,gauntlet,,,,,,,,,,,,,,,,
190,diatribe,complementary,crafty,infer,empirical,cardinal,engender,gawkishness,,,,,,,,,,,,,,,,
191,dichotomy,complicit,craven,ingenuous,emulate,caricatured,enigmatic,germane,,,,,,,,,,,,,,,,
192,dictate,compound,credibility,inimical,encomium,castigate,enumerate,gnostic,,,,,,,,,,,,,,,,
193,didactic,concede,credulous,Innocuous,endemic,caterwaul,ephemeral,gossamer,,,,,,,,,,,,,,,,
194,diffident,conciliate,crescendo,inscrutable,enervated,causal,episodic,grandiloquence,,,,,,,,,,,,,,,,
195,diffuse,concomitant,culminate,insipid,engender,celerity,epitome,gratuitous,,,,,,,,,,,,,,,,
196,digression,conducive,cupidity,insular,enigma,censure,equivocal,gravitas,,,,,,,,,,,,,,,,
197,dilatory,conflagration,curmudgeon,intensive,ennui,cerebral,equivocate,gregarious,,,,,,,,,,,,,,,,
198,diminutive,conflate,cynical,intermediary,enumerate,chagrin,eradicate,grouse,,,,,,,,,,,,,,,,
199,discernible,confound,daunt,intimate,ephemeral,champion,espouse,guile,,,,,,,,,,,,,,,,
200,discomfit,conniving,debase,intractable,epicure,chary,estimable,guy,,,,,,,,,,,,,,,,
201,discount,consecrate,debunk,intransigent,epistolary,chicanery,ethereal,hackneyed,,,,,,,,,,,,,,,,
202,discreet,conspicuous,declaim,intrepid,equanimity,choleric,eulogy,hallow,,,,,,,,,,,,,,,,
203,discrepancy,constituent,declivity,inveterate,equivocal,chronological,euphemism,harangue,,,,,,,,,,,,,,,,
204,disingenuous,constraint,decorous,invulnerable,ersatz,churlish,evanescent,harrow,,,,,,,,,,,,,,,,
205,disinterested,construe,deem,irascible,erudition,cinematic,exacerbate,hectoring,,,,,,,,,,,,,,,,
206,disparate,consummate,deface,irresolute,eschew,circuitous,exculpate,hedonism,,,,,,,,,,,,,,,,
207,dissemble,contemptuous,default,laconic,esoteric,circumscribed,exemplar,hermetic,,,,,,,,,,,,,,,,
208,disseminate,contentious,deference,laud,espouse,circumspect,exonerate,heterodox,,,,,,,,,,,,,,,,
209,dissent,contingent,deflect,laudable,ethos,circumvents,expel,hirsute,,,,,,,,,,,,,,,,
210,dissident,contrite,deleterious,litigation,eulogy,clairvoyant,extemporaneous,homiletics,,,,,,,,,,,,,,,,
211,distill,contrition,delimit,loquacious,euphemism,clandestine,extend,homily,,,,,,,,,,,,,,,,
212,distort,contrive,delineate,lucid,euphony,clangorous,extraneous,hubris,,,,,,,,,,,,,,,,
213,distressed,conundrum,demagogue,luminous,evanescent,clemency,facetious,iconoclastic,,,,,,,,,,,,,,,,
214,divergent,convivial,demur,magnanimity,exacerbate,climatic,facilitate,idyll,,,,,,,,,,,,,,,,
215,divorced,convoluted,denigrate,maladroit,exasperate,climax,fallacy,ignoble,,,,,,,,,,,,,,,,
216,divulge,copious,denote,malign,exculpate,cloying,fancy,ignominious,,,,,,,,,,,,,,,,
217,documentary,cornucopia,deride,malleable,exegesis,coalesce,fawn,imbroglio,,,,,,,,,,,,,,,,
218,dogged,corollary,derivative,maverick,exigent,cocksure,fervent,immutable,,,,,,,,,,,,,,,,
219,dogmatic,corroborate,desiccate,mendacity,exonerate,coddle,fidelity,imperious,,,,,,,,,,,,,,,,
220,droll,cosmopolitan,desultory,mercurial,exorbitant,coerced,filibuster,impiety,,,,,,,,,,,,,,,,
221,dubious,cosseted,detached,meticulous,expatriate,coeval,flag,importune,,,,,,,,,,,,,,,,
222,dupe,coterminous,deterrent,misanthrope,explicator,cognizant,flamboyant,imprimatur,,,,,,,,,,,,,,,,
223,duplicitous,countermand,diaphanous,mitigate,explicit,coherence,flip,impugn,,,,,,,,,,,,,,,,
224,duress,cow,diatribe,modest,exponent,cohesive,flounder,impute,,,,,,,,,,,,,,,,
225,dwindling,craven,dichotomy,mollify,expurgate,cohort,flout,incandescent,,,,,,,,,,,,,,,,
226,ebullient,credence,dictum,monotony,extemporaneous,coin,flush,inchoate,,,,,,,,,,,,,,,,
227,eccentric,creditable,didactic,mundane,extol,collusion,forbearance,ineffable,,,,,,,,,,,,,,,,
228,eclipse,credulity,diffident,munificent,extraneous,commensurate,forestall,ineluctable,,,,,,,,,,,,,,,,
229,economy,crestfallen,diffuse,naïve,exuberant,commiserate,forswear,ingenuous,,,,,,,,,,,,,,,,
230,edify,cryptic,digress,nascent,facetious,companionable,forte,inimical,,,,,,,,,,,,,,,,
231,efficacious,crystallize,dilate,neglect,fallacy,complicit,fortuitous,inimitable,,,,,,,,,,,,,,,,
232,egregious,culminate,dilatory,nonplussed,fallible,composure,founder,iniquity,,,,,,,,,,,,,,,,
233,elated,culpability,dilettante,notoriety,fallow,compunction,fraud,innervate,,,,,,,,,,,,,,,,
234,elementary,cumbersome,din,nuance,fastidious,concession,frugality,inscrutable,,,,,,,,,,,,,,,,
235,elicit,cupidity,dirge,obdurate,fatuous,concoct,furtive,insensible,,,,,,,,,,,,,,,,
236,elitist,curmudgeon,disabuse,obscure,fawn,concomitant,garner,insouciant,,,,,,,,,,,,,,,,
237,elucidate,dearth,discerning,obsequious,fecund,concord,genial,interdict,,,,,,,,,,,,,,,,
238,embellish,debase,discomfiting,obstinate,felicity,concupiscence,glib,invective,,,,,,,,,,,,,,,,
239,empirical,debonair,discordant,obviate,fervid,condign,goad,inveigh,,,,,,,,,,,,,,,,
240,emulate,debunk,discredit,occlude,fetid,condones,gratis,inveterate,,,,,,,,,,,,,,,,
241,enchant,decimation,discrepancy,occult,flippant,conferred,gratitude,involute,,,,,,,,,,,,,,,,
242,encyclopedic,decorous,discrete,offset,flotsam,confiscate,hankering,jejune,,,,,,,,,,,,,,,,
243,enervate,decorum,discriminating,olfactory,foible,conflagration,hegemony,jocose,,,,,,,,,,,,,,,,
244,engender,decry,disingenuous,omniscience,fomentation,conflate,heretical,labile,,,,,,,,,,,,,,,,
245,enigmatic,deferential,disinterested,onerous,foppish,confound,hyperbole,lachrymose,,,,,,,,,,,,,,,,
246,entitled,defray,disjointed,opaque,ford,conglomerate,idiosyncrasy,laconic,,,,,,,,,,,,,,,,
247,entrenched,degrade,dismiss,opportunism,formidable,conniving,idolatrous,lambaste,,,,,,,,,,,,,,,,
248,ephemeral,deign,disparage,opprobrium,fortuitous,connoisseur,illusory,languorous,,,,,,,,,,,,,,,,
249,equitable,delegate,disparate,oscillate,foster,conscientious,imminent,largess,,,,,,,,,,,,,,,,
250,equivocate,deleterious,dispassionate,ostentatious,fractious,conspicuous,impassive,lascivious,,,,,,,,,,,,,,,,
251,erratic,deliberate,dispatch,outstrip,frenetic,consternation,impediment,lassitude,,,,,,,,,,,,,,,,
252,erudite,delineate,disperse,overshadow,frivolous,contumacious,impenetrable,laud,,,,,,,,,,,,,,,,
253,escalate,demean,disposition,painstaking,frugal,conundrum,imperturbable,levee,,,,,,,,,,,,,,,,
254,eschew,demonstrative,disquieting,partial,fulminate,conversant,impetuous,levity,,,,,,,,,,,,,,,,
255,esoteric,demur,dissemble,partisan,furtive,copious,implacable,libertine,,,,,,,,,,,,,,,,
256,estranged,demure,disseminate,patent,gambol,cordial,improbable,limn,,,,,,,,,,,,,,,,
257,euphoric,denigrate,dissent,paucity,garner,cordon,impudent,limpid,,,,,,,,,,,,,,,,
258,evade,denote,dissolution,pedantic,garrulous,corroborate,impunity,list,,,,,,,,,,,,,,,,
259,evanescent,denouement,dissonance,pedestrian,genial,cosmopolitan,incipient,loquacious,,,,,,,,,,,,,,,,
